192.168.1.118,e84e06201c5d,20.26,53.63,2015-04-18 16:36:34
192.168.1.108,e84e06200f3b,22.29,44.25,2015-04-18 16:36:35
192.168.1.105,e84e0626b99c,21.22,45.23,2015-04-18 16:36:36
192.168.1.116,e84e06202f97,20.98,53.13,2015-04-18 16:36:58
192.168.1.118,e84e06201c5d,20.19,53.94,2015-04-18 16:37:07
192.168.1.108,e84e06200f3b,22.28,44.25,2015-04-18 16:37:08
192.168.1.105,e84e0626b99c,21.21,45.23,2015-04-18 16:37:09
192.168.1.116,e84e06202f97,21,53.13,2015-04-18 16:37:31
192.168.1.118,e84e06201c5d,20.1,54.23,2015-04-18 16:37:40
192.168.1.108,e84e06200f3b,22.28,44.25,2015-04-18 16:37:41
192.168.1.105,e84e0626b99c,21.22,45.19,2015-04-18 16:37:41
192.168.1.116,e84e06202f97,21.01,53.13,2015-04-18 16:38:04
192.168.1.108,e84e06200f3b,22.29,44.25,2015-04-18 16:38:13
192.168.1.118,e84e06201c5d,19.99,54.63,2015-04-18 16:38:14
192.168.1.105,e84e0626b99c,21.22,45.23,2015-04-18 16:38:14
192.168.1.109,7cdd904a685c,19.54,51.26,2015-04-18 16:38:35
192.168.1.116,e84e06202f97,21.01,53.16,2015-04-18 16:38:37
192.168.1.108,e84e06200f3b,22.28,44.25,2015-04-18 16:38:46
192.168.1.118,e84e06201c5d,19.99,54.66,2015-04-18 16:38:46
192.168.1.105,e84e0626b99c,21.22,45.23,2015-04-18 16:38:47
192.168.1.110,7cdd907a7166,17.24,52.82,2015-04-18 16:39:09
192.168.1.116,e84e06202f97,21.03,53.2,2015-04-18 16:39:09
192.168.1.120,aca21339ce2f,17.35,40.47,2015-04-18 16:39:11
192.168.1.121,aca21339cf83,17.18,40.08,2015-04-18 16:39:16
192.168.1.108,e84e06200f3b,22.29,44.25,2015-04-18 16:39:19
192.168.1.118,e84e06201c5d,20.02,54.57,2015-04-18 16:39:19
192.168.1.105,e84e0626b99c,21.22,45.23,2015-04-18 16:39:20
192.168.1.116,e84e06202f97,21.04,53.2,2015-04-18 16:39:42
